common.opening;OUVERTURE
common.opening.opening;Accueil
common.opening.opening.desc;E-mail :<br/>Salutations correctes comme M. / Mme / Mlle, etc. et avec le nom correct du client<br/><br/>Téléphone<br/>Salutation, présentation.<br/>Utilisez une « poignée de main » verbale.
common.opening.opening.passed;E-mail<br/>L'agent a :<br/>- Accueilli le client avec son nom.<br/> - Identifié le client  en utilisant la bonne salutation de genre (par exemple : M./Mme, etc.)<br/><br/>Téléphone<br/>- L'agent salue le client, utilise une poignée de main verbale<br/>- L'agent a donné le nom de la marque/société (Salt --non applicable pour LIDL)<br/>- Il s'identifie
common.opening.opening.failed;E-mail :<br/>- Il n'a pas utilisé le bon nom du client lors de l'accueil.<br/>- Il y a une faute d'orthographe dans le nom du client.<br/>- L'agent a identifié le client  en utilisant une salutation de genre erronée (c'est-à-dire M. ou Mme, etc.)<br/><br/>Téléphone:<br/>L'agent s'écarte de l'une des 3 exigences nécessaire pour réussir
common.opening.identification;Identification
common.opening.identification.desc;Vérification correcte du client (selon le procédure d'identification).
common.opening.identification.passed;Agent a vérifié de manière appropriée selon la procédure d'identification.
common.opening.identification.failed;E-mail:<br/>L'agent n'a pas suivi la <a href='http://qoom.salt.ch/knowledge/handling/ticket/contact_form-how_to_identify_the_applicant' target='_blank'>procédure d'identification</a>. <br/>Le score total de l'appel deviendra zéro car il s'agit d'une erreur fatale.<br/><br/>Téléphone :<br/>L'agent n'a pas suivi la <a href='http://qoom.salt.ch/knowledge/handling/voice/customer_service-how_to_identify_the_caller' target='_blank'>procédure d'identification</a>. <br/>La sur-vérification n'est pas un échec. Le score total de l'appel deviendra zéro car il s'agit d'une erreur fatale. 
common.resolution;ÉTAPES DE LA RÉSOLUTION
common.resolution.diagnostic;Compréhension et diagnostic des problèmes
common.resolution.diagnostic.desc;Diagnostic correct de la demande du client.<br/>Expliquez le problème du client. <br/>Examinez l'historique du cas et la raison du problème.
common.resolution.diagnostic.passed;"E-mail:<br/>- L'agent a identifié la demande du client et la raison du problème.<br/>- L'agent a examiné l'historique du cas et le contexte pour comprendre le problème (le cas échéant).<br/>- L'agent a fourni une explication correcte de comment/pourquoi le problème s'est produit.<br/>- L'agent a prêté attention à la demande/requête du client.<br/>- L'agent a réussi à identifier le profil du client (c'est-à-dire ensoleillé / nuageux / orageux) - pour adapter la réponse en conséquence.<br/><br/>Téléphone :<br/>- Le CSS a réussi à comprendre le problème du client et à l'identifier rapidement.  <br/>- Le CSS a posé des questions ouvertes / questions fermées -- Si nécessaire.<br/>- Le CSS a posé des questions alternatives pour comprendre le problème.<br/>- Le CSS a posé des questions d'approfondissement appropriées qui ont permis de bien comprendre les préoccupations du client.<br/><br/>Exemples :<br/>« Je veux m'assurer que je comprends bien ce que vous me dites. Donc, ...""<br/>« Si je comprends bien, ... »<br/>« Donc, ce que je comprends jusqu'à présent, c'est... ce serait bien si vous pouviez m'en dire un peu plus sur... »<br/>QUESTIONS OUVERTES <br/>par exemple: comment, pourquoi, quand, qui, quoi, où ?<br/>Exemples :<br/>- Combien de fois cela se produit-il ?<br/>- Qu'avez-vous fait avant que le problème ne commence ?<br/>- Qu'est-ce qu'il vous a affiché alors ?<br/>QUESTIONS FERMÉES<br/>par exemple : avez-vous, pouvez-vous, est-il, voulez-vous ?<br/>Exemples :<br/>- Avez-vous essayé d'effectuer un appel/test pour voir si une page google s'ouvre ?<br/>- Voyez-vous les barres du réseau/signal ?<br/>- Êtes-vous d'accord avec cela ?"
common.resolution.diagnostic.failed;E-mail :<br/>- L'agent n'a pas identifié correctement la demande du client ni la raison du problème.<br/>- L'agent n'a pas examiné l'historique du cas et le contexte pour comprendre le problème (le cas échéant).<br/>- L'agent n'a pas fourni une explication correcte concernant comment/pourquoi le problème s'est produit.<br/>- L'agent s'est empressé de faire des hypothèses hâtives/erronées concernant le problème du client (il n'a pas lu attentivement l'e-mail/la demande/la requête du client).<br/>- L'agent n'a pas réfléchi à la demande du client.<br/>- L'agent n'a pas réussi à identifier le profil du client (c'est-à-dire ensoleillé / nuageux / orageux) -  donc il n'a pas adapté la réponse en conséquence.<br/><br/>Téléphone :<br/>- Le CSS n'a pas posé les questions appropriées pour clarifier le problème. <br/>- Le CSS n'a pas posé de questions ouvertes / questions fermées -- partout/si nécessaire.<br/>- Le CSS n'a pas posé des questions alternatives pour comprendre le problème.<br/>- Le CSS n'a pas réussi à comprendre le problème du client et à l'identifier rapidement.<br/>- Le CSS a posé des questions qui n'étaient pas appropriées à la situation.
common.resolution.solution;Solution
common.resolution.solution.desc;Informations complètes et correctes. Solution à long terme pour éviter la répétition de ce genre de situation. Reconnaître les occasions de montrer les valeurs de l'entreprise (qualité, produits) au client et proposer des options. Traitement des objections. Compensations correctes. La fidélisation des clients. Mesures prises.<br/><br/>Changez de catégorie et faites remonter l'information via Better Together si un ticket inutile a été créé ou s'il a été envoyé à la mauvaise équipe (en raison de l'utilisation d'une mauvaise catégorie de cas) ou s'il a été fait de manière incomplète.
common.resolution.solution.passed;Quand :<br/>- L'agent a fourni des informations précises et complètes, a apporté des solutions au problème du client et des prestations supplémentaires y relatives. <br/>- L'agent a fourni des solutions claires et pertinentes à la situation et a expliqué la procédure détaillé pour gérer le client.<br/>- L'agent a tenté de fidéliser le client en lui proposant une offre adaptée à ses besoins (changement de PP, extension SIMO ou avec appareil, achat d'un nouvel abonnement, création d'un cas WB2, ...).<br/>- Toutes les politiques et procédures ont été suivies. <br/>- Les mesures ont été prises correctement et en conséquence.<br/>- Il ne manquait que des directives mineures qui n'ont pas eu d'impact négatif sur le client ou l'entreprise.<br/>- Si le client avait besoin d'une ou plusieurs précisions supplémentaires : L'agent a résolu le problème sur la base des informations fournies et a ensuite posé d'autres questions appropriées pour résoudre le problème.<br/>- En cas de courrier IDF : L'agent fournit des informations générales dans la mesure du possible (en évitant de violer la sécurité) et ajoute ensuite l'IDF/message en fonction des besoins/demandes.<br/>- Changez de catégorie et faites remonter l'information via Better Together si un ticket inutile a été créé ou attribué à la mauvaise équipe (en raison de l'utilisation d'une mauvaise catégorie de cas) ou s'il a été fait de manière incomplète
common.resolution.solution.failed;Quand :<br/>- L'agent a fourni des informations incorrectes ou incomplètes<br/>- L'information n'était pas liée au problème du client.<br/>- L'agent n'a pas réussi à trouver une solution. <br/>- L'agent a tenté de fournir une solution qui n'était pas adaptée à la situation. <br/>- L'agent n'a pas essayé de retenir le client et ne lui a pas proposé d'offre (adaptée).<br/>- La politique ou la procédure a été violée. <br/>- L'agent a suivi des directives incorrectes pour la situation ou n'a pas entièrement adhéré à la politique. <br/>- L'agent n'a pas posé d'autres questions appropriées pour résoudre le problème, si des informations supplémentaires sont nécessaires. <br/>- L'agent a donné une compensation en dehors des directives.<br/>- Si le client avait besoin d'explication(s) supplémentaire(s) : L'agent a évité de donner des informations/un support (qui auraient été basés sur les informations déjà fournies par le client) et a plutôt posé directement des questions et des précisions supplémentaires.<br/>- En cas de courrier IDF : L'agent n'a pas fourni d'informations générales (dans la mesure où cela est possible, en évitant une violation de la sécurité) et a seulement ajouté l'IDF/message.<br/>Le score total de l'appel deviendra zéro car il s'agit d'une erreur fatale.<br/>- L'agent a simplement fermé le ticket sans le réacheminer vers la bonne équipe<br/>- Pas de Better Together pour mettre en évidence la mauvaise gestion de la par la personne qui a créé le cas 
common.resolution.proactivity;Proactivité / Solution future
common.resolution.proactivity.desc;Reconnaître les occasions de montrer au client les valeurs de l'entreprise  (qualité, produits, etc.).<br/>Proposer des options et des alternatives.<br/>Volonté de résoudre des problèmes supplémentaires non proposés par le client.
common.resolution.proactivity.passed;Quand :<br/>- L'agent a anticipé d'autres problèmes/questions, a fourni des informations supplémentaires et a pris des mesures pour éviter que les problèmes ne se reproduisent.<br/>- L'agent a fait un effort supplémentaire en donnant au client des canaux alternatifs (Mon Compte, FAQ, etc.) que le client peut consulter pour s'aider la prochaine fois au lieu d'appeler ou d'écrire. <br/>Nécessité de penser aux futurs problèmes potentiels liés à la solution fournie<br/>- Upsell/cross sell pour prévenir les chocs lors de la consultation des factures ou les plaintes (mise à niveau, extender Wi-Fi, etc.)
common.resolution.proactivity.failed;Quand :<br/>- L'agent n'a pas anticipé d'autres problèmes/questions et n'a donc pas fourni d'informations supplémentaires ou pris des mesures pour éviter que les problèmes ne se reproduisent.<br/>- L'agent n'a pas fait l'effort supplémentaire de donner au client des canaux alternatifs que le client peut consulter pour s'aider la prochaine fois au lieu d'appeler ou d'écrire. <br/>- L'agent n'a pas beaucoup réfléchi aux problèmes potentiels futurs liés à la solution fournie.
common.resolution.system;Utilisation du système et notes
common.resolution.system.desc;Wrap-up et notes corrects, et utilisation efficace des outils.
common.resolution.system.passed;Quand :<br/>- Utilisation efficace des outils (mémos, onglets SuperOffice, outils externes, etc.).<br/>- Notes détaillées complètes sur l'interaction avec le client dans les systèmes appropriés (par exemple: mémos wrap-up dans SO, VTI, etc.) et informations nécessaires dans « External ticket ID » (contractor, FLL,...) dans SO. <br/>- Bonne catégorie wrap-up.<br/>- Effacer le message laissé dans l'onglet « Message interne » (e-mail/cas).<br/>- Le ticket a le bon statut (e-mail/cas).<br/>- Ajout des informations nécessaires dans le champ  « External ticket ID » dans SO (contractor, FLL,...) (pour email/case).
common.resolution.system.failed;Quand :<br/>- L'agent n'a pas utilisé de manière efficace tous les outils disponibles (mémos, onglets de SuperOffice, outils externes, etc.)<br/>- Il n'y a pas de notes détaillées sur l'interaction avec le client dans les systèmes appropriés (par exemple : mémo de synthèse oublié dans certains outils) et aucune information n'est ajoutée dans «External ticket ID» dans le SO (e-mail/cas). <br/>- La catégorie de wrap-up est erronée / ne correspond pas à l'interaction ou aux actions effectuées par l'agent.<br/>- Le statut du ticket est erroné.<br/>- Création incorrecte du cas.
common.communication;COMMUNICATION
inbound.communication.listening;Écoute active
inbound.communication.listening.desc;Avant de vous engager dans une solution, écoutez activement le client. Paraphrasez le point de vue du client, si nécessaire.<br/><br/>L'écoute active dans le service clientèle signifie être totalement concentré sur les mots que le client prononce, comprendre ce que ces mots signifient et répondre d'une manière qui valide ce qu'il dit.
inbound.communication.listening.passed;"Quand :<br/>- Le CSS a suivi l'approche « Observer, vérifier et observer »<br/>- Le CSS a utilisé le hochement de tête verbal tout au long de l'appel (par exemple : « Je vois... / Je comprends... / Hmm, oui, laissez-moi vérifier cela pour vous... », etc.)<br/>- Concentrez-vous sur ce que dit le client, plutôt que sur ce que vous allez dire en réponse<br/>- Concentrez-vous sur ce que le client ne dit pas - le ton de la voix <br/>- N'interrompez pas - personne n'aime être interrompu au milieu d'une phrase<br/>- Accordez toute votre attention au client et faites abstraction des distractions ; ne faites surtout pas de multitâche lorsque vous parlez à un client<br/>- Prenez des notes rapides, mais ne les laissez pas vous distraire de ce que dit le client<br/>- Répétez de temps en temps ce que le client vous a dit, pour confirmer que vous avez les bonnes informations et pour montrer que vous êtes attentif<br/>- Ne le prenez pas personnellement lorsqu'un client est contrarié - souvent, il veut simplement que vous validiez sa frustration avant de passer à une solution<br/>- Vérifiez fréquemment que vous recueillez les bonnes informations et que vous comprenez bien le problème"
inbound.communication.listening.failed; Quand :<br/>- Le CSS n'a pas suivi l'approche « Observer, vérifier et observer »<br/>- Le CSS n'a pas utilisé le hochement de tête verbal tout au long de l'appel<br/>- Le CSS semblait distrait lorsque le client parlait<br/>- Le client a dû répéter la même chose<br/>- Le CSS n'a pas écouté l'information fournie et le client a dû répéter plusieurs fois la même information<br/>- Le CSS interrompt le client<br/>- Le CSS ne s'assure pas de collecter les bonnes données
case.communication.contact;Mode de contact
case.communication.contact.desc;Est-ce le bon moyen de contacter le client (appel ? envoi de template ?)
case.communication.contact.passed;Quand :<br/>- L'agent priorise l'appel lorsque le cas est complexe, sensible (une plainte) ou requiert plusieurs actions de la part du client<br/>- L'agent priorise l'envoi d'un template (le bon template de résolution) lorsque le client n'a pas pu être joint par téléphone ou pour les cas simples pour lesquels un template est disponible (par exemple pour une compensation effectuée)
case.communication.contact.failed;Quand :<br/>- L'agent n'a pas donné la priorité à l'appel du client ou à l'envoi d'un template (ou il a envoyé le mauvais template).
common.communication.softskills;Compétences de bases
common.communication.softskills.desc;Démonstration de compétences de base et d'empathie. <br/>Reconnaissance des sentiments du client.<br/>Capacité qui permet de comprendre le point de vue du client, même si vous n'êtes pas forcément d'accord.<br/>- communiquer avec sincérité<br/>- aborder à la fois les faits et les sentiments<br/>- faire preuve d'un niveau de préoccupation approprié<br/>- rester objectif
