common.opening;OUVERTURE
common.communication.softskills.passed;"Quand :<br/>- Le ton de l'e-mail/de la voix est amical et personnalisé.<br/>- Utilisez des déclarations empathiques en fonction du ton du client ou en vous adaptant à lui. <br/>- Utilisez des mots magiques, des affirmations positives, des formules de renforcement de l'esprit d'équipe.<br/>- Établir la confiance avec le client, le mettre à l'aise et le valoriser.<br/>- Reconnaissez les préoccupation, le cas échéant.<br/>- Traitez d'abord les sentiments du client, surtout si le ton du client montre de la frustration/irritation/sarcasme/colère, etc.<br/>EXEMPLES / utilisation d'expressions comme :<br/>enthousiaste, amical<br/>« S'il vous plaît / Merci / Excellent / Je serais heureux de... Bien sûr... »                                                                                                                                                            <br/>empathie<br/>« Je comprends votre inquiétude », etc.<br/>« Je suis désolé d'entendre cela. Je me rends compte que cela doit être frustrant pour vous »,<br/>« Je réalise que cela doit/peut être frustrant pour vous. Permettez-moi de vous aider à résoudre cette situation. La première chose que nous devons faire est...»<br/>« Je comprends votre préoccupation/problème et je vais vérifier ici comment nous pouvons le résoudre.... »<br/>« Je comprends votre point de vue.  La première chose que je vais faire/vérifier pour vous... » <br/>Traitez d'abord les sentiments du client (en particulier s'il est en colère) <br/>« Je sais parfaitement que cela peut être frustrant. Je peux comprendre ce que vous ressentez » <br/>« Je me rends compte que cette situation est difficile, je vais donc essayer de trouver une solution pour vous » <br/>« Je comprends ce que vous dites.  Permettez-moi de voir comment je peux vous aider sur ce point... »<br/>« Merci d'avoir pris le temps de nous écrire"" (e-mail/cas).<br/>« Merci pour votre e-mail. Nous apprécions l'opportunité de vous expliquer ce qui s'est passé » (e-mail, cas).<br/>« Nous apprécions toujours les clients qui prennent le temps de nous donner leur avis. Je vais transmettre ce que vous avez dit à notre équipe de direction »<br/>Sentiment d'immédiateté<br/>« Ce que je suis en train de faire pour vous aider est... » (Téléphone)"
common.communication.softskills.failed;Quand :<br/>- Le ton de l'e-mail/de la voix est indifférent, sec, robotique, « plat » ou apathique.<br/>- L'e-mail ne parvient pas à établir un ton amical et personnalisé. <br/>- L'e-mail ne contient pas de déclarations empathiques ou ne montre aucune compréhension à l'égard du problème du client.<br/>- Il n'utilise pas / presque pas de « mots magiques », d'affirmations positives.<br/>- L'agent n'a pas répondu aux sentiments du client de manière à ce qu'il se sente valorisé.<br/>- L'agent n'a pas réussi à adapter la réponse en fonction du profil du client (ensoleillé/nuageux/orageux).<br/>- Le CSS ne fait pas d'effort pour mettre le client à l'aise.<br/>- Le CSS montre un ton ironique, un mauvais ton (une conduite ou une opinion qui s'écarte de la ligne de conduite habituelle ou appropriée).
common.communication.professionalism;Professionnalisme
common.communication.professionalism.desc;E-mail :<br/>Soyez poli.<br/>Respectez le choix des mots, la longueur des phrases, la ponctuation et les majuscules.<br/><br/>Téléphone :<br/>Comportement général pendant l'appel. <br/>Points vérifiés : si l'agent a été professionnel, a fait preuve de compétences, de bon jugement et d'un comportement poli.
common.communication.professionalism.passed;E-mail :<br/>- Le ton de l'e-mail est professionnel, respectueux et poli.<br/>- La ponctuation et la formulation générale sont professionnelles.<br/>- Les phrases ne contiennent pas des exclamations, ou ne sont pas trop prolixes. <br/>- Le texte de la réponse est dépourvu de réflexions entre parenthèses après coup.<br/>- Les abréviations et les chiffres inférieurs à 10 sont écrits en toutes lettres. <br/>- Le texte contient des mots à la place des symboles.<br/>- Le texte ne contient pas de majuscules inutiles. <br/>- Il n'y a pas des erreurs d'accord sujet-verbe (par exemple « le temps . . . sont » au lieu de « le temps . . . est »).<br/><br/>Téléphone :<br/>- L'agent se comporte de manière professionnelle tout au long de l'appel.<br/>- Il reste calme sous pression ou lorsque le client le stresse.<br/>- L'agent répond, ne réagit pas
common.communication.professionalism.failed;E-mail :<br/>- Le ton de l'e-mail est abrupt, non professionnel, trop décontracté, irrespectueux ou impoli.<br/>- La ponctuation et la formulation générale ne sont pas professionnelles.<br/>- Les phrases contiennent des exclamations, ou sont trop prolixes. <br/>- La réponse contient des réflexions entre parenthèses.<br/>- Les abréviations et les chiffres inférieurs à 10 ne sont pas écrits en toutes lettres. <br/>- Le texte ne contient pas de mots à la place des symboles.<br/>- Le texte contient des majuscules inutiles. <br/>- Il manque des virgules et des points dans les phrases, ce qui rend le texte/la phrase difficile à comprendre.<br/>- Il y a des erreurs d'accord sujet-verbe (par exemple « le temps . . . sont » au lieu de « le temps . . . est »).<br/><br/>Téléphone :<br/>- L'agent a un comportement impoli ou non professionnel.<br/>- L'agent est irrespectueux, sarcastique et ironique.<br/>- L'agent fait preuve d'un mépris flagrant pour la demande du client.<br/>- Il ne se retient pas et réagit (au lieu de répondre). <br/>- La voix devient plus forte.<br/>- Il se met sur la défensive ou riposte.
common.communication.structure;Structure / Contrôle des appels
common.communication.structure.desc;E-mail :<br/>Présentation étudiée de l'e-mail<br/>- Donnez la bonne quantité d'informations de la bonne manière afin que le lecteur puisse lire le message facilement et ait envie de le lire.<br/><br/>Une structure qui aide le lecteur à « scanner » le texte<br/>- Veillez à ce que le message soit clair, bref et concis.<br/>- Faites des phrases courtes et directes. <br/>- Le corps du courriel doit être direct et informatif et contenir toutes les informations pertinentes.<br/>- Tirez parti du pouvoir des paragraphes d'une seule phrase.<br/><br/>Téléphone :<br/>Ayez le contrôle total de l'appel. <br/>Fermez le dossier dans le délai imparti / Assurez-vous que tous les détails nécessaires sont inclus.<br/>Contrôlez l'appel en évitant de confondre le client, tout en montrant votre volonté de l'aider.<br/>Prenez le contrôle de l'appel en faisant preuve de confiance et en proposant des solutions avec un résultat positif.
common.communication.structure.passed;E-mail :<br/>- Le texte présente une structure claire et conviviale pour le lecteur.<br/>- Le message est clair, bref et concis.<br/>- Les informations sont transmises de manière claire, précise et compréhensible.<br/>- le texte contient des parties faciles à lire : paragraphes courts, titres de section et listes.<br/>- Le texte contient des hyperliens pour éviter le désordre dans les phrases.<br/>- Chaque paragraphe transmet un message et relie très bien les idées.<br/><br/>Téléphone :<br/>- Le CSS a fait preuve de contrôler l'appel en faisant des déclarations proactives et en proposant des solutions spécifiques au problème du client. <br/>- Il a fait preuve d'une certaine confiance en donnant des solutions.<br/>- Il prend le contrôle de la conversation<br/>- Il limite les temps morts au minimum (2 à 3 temps morts sont acceptables)<br/>- Il garder une position correcte/compacte (c'est-à-dire selon les termes de Salt QooM)<br/>- Il garder une position positive - Utiliser des formulations et des affirmations positives
common.communication.structure.failed;E-mail : <br/>- Le texte présente une structure confuse ou désordonnée. <br/>- Les informations sont transmises de manière confuse, vague ou difficile à comprendre.<br/>- Texte avec de longs paragraphes, sans puces.<br/>- Phrases hachées ou trop longues pour être claires.<br/>- Sans hyperliens (ce qui rend les phrases plus complexes).<br/>- Les paragraphes ne connectent pas les idées de manière fluide.<br/>- Les paragraphes comptent plus de trois ou quatre phrases.<br/><br/>Téléphone :<br/>- Le CSS a fait preuve d'un manque total d'assurance en créant le vide et en s'exprimant de manière peu engageante (hum, oh, hum, hein).<br/>- Impossible de remettre le client sur la bonne voie. <br/>- Il a montré peu de confiance<br/>- Il a permis au client de prendre le contrôle de l'appel.<br/>- Beaucoup de temps morts ou de très longs temps morts tout au long de l'appel.<br/>- Le CSS utilise des formulations négatives.<br/>- Le CSS utilise des « justifications généralisées » concernant un problème/un bug.<br/>  (par exemple : formulation en cas de problèmes dus à des « bugs »/« mises à jour du système » : « nous construisons pour vous »).<br/>- Des déclarations comme : « à cause  du système... », « à cause de la procédure... », « à cause de la décision de l'entreprise... » « à cause d'un problème général... »<br/>- Ton peu sûr : « pourrait être... », « aurait dû... », « probablement... » lorsque le client cherche une solution et une réponse claire
inbound.communication.speech;Débit de parole
inbound.communication.speech.desc;Parlez lentement, distinctement, de manière compréhensible. Sans mots d'origine étrangère (anglicisme), ni termes techniques (jargon). N'interrompez pas le client. S'adapter au rythme d'élocution des clients
inbound.communication.speech.passed;Quand :<br/>- L'agent a été très encourageant. <br/>- Parlez lentement et clairement.  <br/>- Utilisez le nom des clients (pour établir une relation).<br/>- L'agent n'a pas interrompu le client.
inbound.communication.speech.failed;Quand :<br/>- L'agent n'était pas du tout encourageant. <br/>- Il parlait trop vite ou n'était pas clair, le client devait demander à l'agent de répéter. <br/>- Il n'a pas du tout utilisé le nom du client. <br/>- Il interrompt le client.<br/>- L'agent semble s'ennuyer, être agressif ou indifférent.
inbound.communication.blanks;En attente et en pause
inbound.communication.blanks.desc;Le client n'est pas mis en attente trop longtemps, trop souvent ou lorsque cela n'est pas nécessaire.<br/>Lorsqu'il met le client en attente, le CSS lui demande toujours son autorisation et lui en explique la raison.<br/>Le CSS informe le client des actions entreprises et ne laisse pas le client sans aucune information.
inbound.communication.blanks.passed;Quand :<br/>- Le CSS ne doit pas mettre le client en attente inutilement, trop souvent ou trop longtemps<br/>- Demandez toujours sa permission et expliquez-lui la raison<br/>- Informez le client toutes les fois que vous ne lui parlez pas lorsque vous n'utilisez pas la mise en attente (par exemple, « Je prends quelques secondes pour insérer des notes sur le cas », etc.)
inbound.communication.blanks.failed;Quand :<br/>- Le CSS met le client en attente inutilement, trop souvent ou trop longtemps<br/>- Il ne demandez pas la permission ou n'expliquez pas au client pourquoi il le met en attente<br/>- Il n'informe pas le client des mesures prises et le laisser sans aucune information (silence/pause)
common.sales;CROSS SELLING / UPSELL SELLING
inbound.sales.opportunity;Opportunité d'une offre
inbound.sales.opportunity.desc;Possibilité de suggérer des promotions disponibles :<br/>- Option (exemple : Mobile Security App)<br/>- Renouvellement<br/>- Achat d'un abonnement supplémentaire<br/>- Salt Home (si éligible pour la fibre et si les CSRs sont autorisés à vendre Home)
inbound.sales.opportunity.passed;Quand :<br/>- L'agent suggère l'option « Mobile Security App »<br/>- L'agent profite de l'occasion pour suggérer un contrat
inbound.sales.opportunity.failed;Quand :<br/>- L'agent n'a suggéré aucune option<br/>- Il y avait une claire opportunité d'offre de contrat, mais l'agent n'a fait aucune proposition/mention<br/>- Non applicable en cas de circonstances/situations EXCEPTIONNELLES, par exemple si le client appelle pour une résiliation, ouverture d'un dossier Ombudscom ou similaire
inbound.sales.argumentation;Approche argumentative
inbound.sales.argumentation.desc;Posez des questions pour orienter vers un besoin du produit et un avantage potentiel pour le client<br/>Posez des questions subjectives et dynamiques/réactives en fonction du déroulement de la conversation.<br/><br/>En cas d'objection, essayez de vous renseigner sur les raisons, puis traitez-les et répondez en conséquence / contre-argumentation.
inbound.sales.argumentation.passed;Quand :<br/>- L'agent pose des questions pour identifier les besoins/intérêts du client.<br/>- Questions ouvertes (pourquoi/comment ?) / questions fermées pour obtenir des conclusions.<br/>- En cas d'objection, l'agent demande les raisons au client pour répondre en conséquence.<br/>- L'agent a fait un effort pour maintenir l'intérêt / aborder l'objection.
inbound.sales.argumentation.failed;Quand :<br/>- La discussion manquait de questions ou de points qui auraient permis d'examiner plus en profondeur les besoins des clients.<br/>- L'agent n'a pas tenté de répondre à l'objection du client, pas du tout.<br/>- L'agent n'a pas fait l'effort de présenter un contre-argument<br/>- L'agent a confirmé des aspects erronés du produit ou de l'option 
inbound.sales.validation;Validation finale de l'offre (ventes)
inbound.sales.validation.desc;Créer un contrat CORRECT ou une activation d'option selon les directives<br/>- conformément à l'abonnement/à l'offre/aux rabais acceptés par le client. Ajouter le bon code promo<br/>- en suivant le bon ID-Checker
inbound.sales.validation.passed;Quand :<br/>- L'agent a demandé le «ok» final pour valider le contrat.<br/>- L'agent valide correctement la promotion/le code offert (par exemple : l'application, le contrat, etc.).<br/>- L'agent crée le contrat correct, conformément à tous les prix/offres/rabais acceptés par le client.<br/>- L'agent a demandé une confirmation pour créer un contrat, ce qui a été reconnu et reconfirmé par le client.<br/>- Tous les rabais convenus sont inclus, conformément aux autorisations et aux procédures de Salt.<br/>- Toutes les pratiques de vente standard sont respectées<br/>- Toutes les informations d'identification requises ont été demandées au client, point par point (par exemple : le nom complet, la date de naissance, l'adresse, le type et le numéro de pièce d'identité conformément à celles acceptées par Salt, e-mail, détails de l'utilisateur, etc.)<br/>- Pas de fautes d'orthographe, ni d'autres coquilles, qui risqueraient d'entraîner une confusion ou une authentification des données fournies.
inbound.sales.validation.failed;Quand :<br/>- Le nouveau contrat ne correspond pas à l'accord avec/du client.<br/>- Tous les codes de réduction convenus ne sont pas fournis.<br/>- L'agent a émis des avantages au client en dehors des directives de Salt<br/>- L'agent a émis un crédit pour un gain, en dehors des directives de Salt.<br/>- L'agent a violé les pratiques de vente standard.<br/>- L'agent ne fait pas un résumé final de l'ordre.<br/>- Il ne demande pas le « ok » final pour valider le contrat.<br/>- Lorsque l'agent ne suit pas correctement, le script « ID_checker_speech » donné par Salt.
common.closing;FERMETURE
common.closing.closing;Salutations
common.closing.closing.desc;E-mail<br/>Récapitulation et temps. Remercie le client pour sa fidélité, sa patience, le temps qu'il a pris pour nous contacter<br/>Déclarations finales.<br/>Relisez et révisez avant d'envoyer.<br/><br/>Téléphone :<br/>Récapitulation et temps.<br/>Le CSS demande si le client a d'autres questions ou des questions supplémentaires<br/>Il remercie le client pour sa fidélité, sa patience, le temps qu'il a pris pour nous contacter<br/>Déclaration de clôture (saisonnière)<br/><br/>*En cas de clôture de contrat :<br/>Assurez-vous que le CSS informe le client de ce qui va se passer après la commande.
common.closing.closing.passed;E-mail :<br/>- L'agent a terminé par un récapitulatif de ce qu'il ferait ou a fait (si nécessaire / si cas complexe).  (par exemple : « Je vous enverrai la carte SIM par courrier. Vous devriez la recevoir dans XYZ jours ouvrables »).<br/>- L'agent a donné son soutien pour toute aide supplémentaire via la hotline ou autre.<br/>- L'agent a fermé l'e-mail avec une déclaration de clôture professionnelle (par exemple, « Meilleurs salutations », etc.)<br/>- L'agent a utilisé la bonne signature.<br/>- L'agent a relu l'ensemble de l'e-mail avant de l'envoyer pour faire une auto-révision et vérifier les petites fautes d'orthographe.<br/><br/>Téléphone :<br/>- Le CSS fait un résumé de conclusif <br/>- Le CSS a fait le résumé nécessaire en cas de conclusion de contrat (contrat_closing).<br/>- Le CSS résume rapidement (en résumant les points précédents, en cas de nombreux sujets abordés, ou en mentionnant le RDV/callback prédéfini).<br/>- Le CSS demande au client s'il a des questions supplémentaires ou d'autres questions<br/>- Le CSS fait un commentaire positif sur le choix du client (si une commande a été conclue).<br/>- Le CSS remercie le client pour sa fidélité, sa patience, le temps qu'il a pris pour nous contacter. Évitez le « merci pour votre appel »<br/>- une salutation et une fin d'appel en douceur.
common.closing.closing.failed;E-mail : <br/>- L'agent n'a pas fait un récapitulatif des prochaines actions à suivre (si nécessaire / si problème complexe). <br/>- L'agent n'a pas donné son soutien pour toute aide supplémentaire via la hotline ou autre.<br/>- L'agent n'a pas utilisé une formule de politesse professionnelle pour conclure l'e-mail (par exemple, « Meilleurs salutations », etc.)<br/>- L'agent a utilisé la mauvaise signature.<br/>- L'agent n'a pas relu avant l'envoi et n'a donc pas corrigé les petites fautes d'orthographe, de ponctuation ou autres petites coquilles.<br/><br/>Téléphone :<br/>- Le résumé de conclusif n'a pas été suivi<br/>- En cas de conclusion d'un contrat (contract_closing) : lorsque le CSS a omis d'informer le client de ce qui va se passer après la commande.<br/>- La fin de l'appel était abrupte (du côté du CSS)<br/>- Le CSS n'a pas remercié le client pour sa fidélité, sa patience ou le temps qu'il a pris pour nous contacter<br/>- Le CSS n'a pas demandé s'il y avait d'« autres questions »
case.closing.processingtime;Temps de traitement
case.closing.processingtime.desc;Le temps de traitement pour résoudre et clôturer le ticket est dans les limites de temps
case.closing.processingtime.passed;L'AHT dépensée sur le ticket est conforme
case.closing.processingtime.desc;AHT spent on the ticket is not compliant (too short / too long)
case.closing.processingtime.passed;AHT spent on the ticket is compliant
case.closing.processingtime.failed;AHT spent on the ticket is not compliant (too short / too long)
;
;
;
;
;
;
;
;
;
;
;
;
;
